label,speciesName,type,branchiness,flowers,density,avg_size,elevation_bin
Bomarea_albimontana_Peru_LeivaS_N_,Bomarea albimontana,0,0,2.08,1.71,3.79,34
Bomarea_amilcariana_Venezuela_Dorr8337,Bomarea amilcariana,1,3,3.18,0.82,4.46,2
Bomarea_ampayesana_Peru_Bocke3215,Bomarea ampayesana,1,3,2.48,2.5,4.36,23
Bomarea_andimarcana_Peru_Suclli1307,Bomarea andimarcana,1,3,2.48,1.17,3.8,234
Bomarea_angulata_Peru_Quiroz3208,Bomarea angulata,0,0,3.22,2.91,5.3,12
Bomarea_aurantiaca_Bolivia_Fuentes13880,Bomarea aurantiaca,0,0,3.14,3.03,5.1,23
Bomarea_brachysepala_Ecuador_Jorgensen2129,Bomarea brachysepala,1,2,2.2,2.54,4.42,2
Bomarea_bredemeyerana_Colombia_Tribble06,Bomarea bredemeyerana,0,0,2.89,1.47,4.49,12
Bomarea_bredemeyerana_Venezuela_Liesner7935,Bomarea bredemeyerana,0,0,2.89,1.47,4.49,12
Bomarea_brevis_Bolivia_Teran1759,Bomarea brevis,0,0,1.1,2.63,4.2,23
Bomarea_campylophylla_Bolivia_Maldonado3174,Bomarea campylophylla,1,2,2.71,1.89,5.48,34
Bomarea_cf_anceps_Peru_LopezM_8913,Bomarea cf anceps,0,0,3.69,2.44,5.77,1
Bomarea_chaparensis_Bolivia_Steinbach8897,Bomarea chaparensis,0,0,2.48,3.32,5.38,12
Bomarea_chiriquina_Panama_Hammel6374,Bomarea chiriquina,0,0,2.71,2.62,5.5,1
Bomarea_coccinea_Peru_Nunez13229,Bomarea coccinea,0,0,1.95,3.03,4.1,23
Bomarea_cornuta_Bolivia_Fuentes17664,Bomarea cornuta,1,3,3.69,2.56,5.25,123
Bomarea_densiflora_Alzate3151,Bomarea densiflora,0,0,4.13,2.45,5.29,123
Bomarea_diffracta_Colombia_Tribble12,Bomarea diffracta,1,5,4.28,1.34,5.18,12
Bomarea_dispar_Peru_SchunkeV_3544,Bomarea dispar,1,3,2.77,3.1,5.87,01
Bomarea_distichifolia_CultivatedinCA_SFBG20120053,Bomarea distichifolia,0,0,1.95,2.36,3.76,123
Bomarea_edulis_Argentina_Novara2378,Bomarea edulis,1,3,3.78,1.61,5.19,012
