Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]
0	0	-38.05231	-39.89602	1.843711	0.0576792	0.205886
1	1	-38.52875	-37.2007	-1.328047	0.283311	0.25344
2	0	-37.43199	-38.00924	0.5772532	0.185089	0.187557
3	1	-38.39323	-40.81436	2.421128	0.0982364	0.115596
4	0	-38.3139	-37.46433	-0.8495668	0.203377	0.292162
5	1	-37.83986	-37.47899	-0.3608715	0.246402	0.207045
6	0	-39.27401	-39.77033	0.4963144	0.310453	0.069165
7	1	-38.15566	-40.67834	2.522683	0.0388633	0.166222
8	0	-37.65752	-38.46703	0.8095077	0.127615	0.225027
9	1	-37.89851	-37.49494	-0.4035636	0.253363	0.203762
10	0	-38.41681	-37.24921	-1.167604	0.228682	0.294249
11	1	-37.83486	-40.10584	2.270977	0.064428	0.162337
12	0	-37.76709	-38.13238	0.3652938	0.252289	0.138614
13	1	-37.71181	-39.55893	1.847127	0.167679	0.0955929
14	0	-39.2478	-42.12101	2.873215	0.147122	0.0277717
15	1	-37.48075	-38.83523	1.354482	0.181777	0.123927
16	0	-37.63976	-37.72606	0.08629503	0.234724	0.180209
17	1	-38.1909	-39.87935	1.688448	0.0584561	0.218482
18	0	-37.80246	-39.09831	1.295853	0.235482	0.0752707
19	1	-38.01348	-37.28787	-0.725606	0.230905	0.253957
20	0	-37.61985	-39.36591	1.74606	0.194704	0.0772722
21	1	-38.14162	-40.16086	2.019243	0.0487615	0.199685
22	0	-37.94401	-39.29811	1.3541	0.239585	0.0661506
23	1	-37.90802	-37.33496	-0.5730582	0.23087	0.240853
24	0	-39.97807	-36.98612	-2.991954	0.319458	0.360606
25	1	-37.81739	-37.47555	-0.341844	0.243472	0.208336
26	0	-37.95575	-37.34286	-0.6128922	0.247334	0.22782
27	1	-39.6671	-36.98833	-2.678777	0.306057	0.347032
28	0	-37.41232	-38.25	0.837676	0.194826	0.15539
29	1	-39.37442	-37.38605	-1.988367	0.233167	0.360458
30	0	-38.19667	-40.90606	2.709384	0.0462402	0.142764
31	1	-40.62682	-37.49934	-3.127486	0.26097	0.430768
32	0	-37.83606	-38.65083	0.8147674	0.114866	0.237323
33	1	-39.4853	-41.19109	1.705795	0.253815	0.021629
34	0	-37.52876	-38.34292	0.8141581	0.226178	0.126063
35	1	-37.74852	-38.58096	0.8324389	0.119364	0.231303
36	0	-37.89358	-39.89922	2.005646	0.116151	0.133467
37	1	-37.77128	-39.57527	1.803992	0.0729827	0.194004
38	0	-42.21612	-37.3863	-4.829819	0.329609	0.508751
39	1	-38.36797	-37.98318	-0.3847965	0.291933	0.163575
40	0	-38.61385	-38.72805	0.1141956	0.299405	0.113125
41	1	-38.03442	-38.12417	0.08975772	0.271829	0.142805
42	0	-37.92127	-39.15417	1.232901	0.243672	0.0725028
43	1	-39.67993	-38.7299	-0.9500259	0.147246	0.356945
44	0	-37.8427	-38.68508	0.8423827	0.112917	0.236893
45	1	-37.9472	-39.0844	1.137193	0.0919661	0.232452
46	0	-37.81218	-37.406	-0.4061867	0.232846	0.224504
47	1	-38.08008	-37.63402	-0.4460645	0.185921	0.274864
48	0	-38.21145	-38.76105	0.549594	0.275633	0.0993959
49	1	-37.75794	-37.46087	-0.2970679	0.213788	0.234164
50	0	-37.4739	-38.01489	0.5409898	0.171399	0.204371
51	1	-38.56153	-37.94752	-0.6140053	0.168695	0.306554
52	0	-37.6604	-37.6432	-0.0172052	0.192572	0.231275
53	1	-37.55835	-39.18144	1.62309	0.182364	0.100204
54	0	-37.69178	-39.45479	1.76301	0.163886	0.10663
55	1	-37.60315	-39.38996	1.786804	0.0989419	0.169525
56	0	-37.6314	-37.56781	-0.06358404	0.217012	0.21083
57	1	-38.40994	-37.32493	-1.085011	0.283603	0.232215
58	0	-37.67085	-37.63821	-0.0326362	0.234939	0.190237
59	1	-38.76953	-37.0659	-1.703626	0.279991	0.289108
60	0	-37.42116	-38.10722	0.6860652	0.178165	0.185109
61	1	-38.37634	-38.23749	-0.1388512	0.145741	0.288584
62	0	-37.74882	-37.89791	0.1490959	0.249875	0.159648
63	1	-37.84286	-37.765	-0.07785294	0.174982	0.254089
64	0	-37.43242	-38.42374	0.9913125	0.203042	0.133941
65	1	-41.55018	-45.37642	3.826238	0.0158683	0.0769412
66	0	-38.0768	-40.58755	2.510746	0.0437291	0.162384
67	1	-37.44252	-38.62924	1.186724	0.195002	0.12515
68	0	-37.89818	-40.24493	2.346754	0.0715643	0.148674
69	1	-38.06696	-38.47542	0.4084542	0.126406	0.260779
70	0	-37.57859	-38.11888	0.5402828	0.23359	0.142241
71	1	-39.31301	-38.52596	-0.7870512	0.149427	0.340728
72	0	-38.45533	-38.08419	-0.3711452	0.157249	0.297083
73	1	-37.79301	-39.1637	1.370685	0.231824	0.0724832
74	0	-37.49684	-37.78416	0.2873231	0.199921	0.197697
75	1	-38.02822	-37.67936	-0.3488639	0.268957	0.183456
76	0	-39.07599	-38.64821	-0.4277803	0.323749	0.135462
77	1	-37.43114	-38.53424	1.103101	0.195113	0.132242
78	0	-38.4301	-38.01222	-0.4178777	0.295352	0.163006
79	1	-37.47573	-38.07704	0.6013126	0.216948	0.153626
80	0	-37.89914	-39.84245	1.943313	0.147559	0.107428
81	1	-37.41645	-38.31529	0.8988418	0.196962	0.147986
82	0	-39.32726	-37.27367	-2.05359	0.243313	0.355929
83	1	-38.36547	-37.62314	-0.7423235	0.189812	0.29649
84	0	-38.78279	-41.33983	2.557043	0.126592	0.0755335
85	1	-37.61818	-39.22049	1.602308	0.0927181	0.19164
86	0	-37.73771	-38.37227	0.6345583	0.132099	0.235611
87	1	-37.5297	-37.97724	0.4475413	0.167904	0.215914
88	0	-37.55615	-37.85055	0.2944068	0.177434	0.219574
89	1	-37.61017	-39.37115	1.76098	0.188178	0.0825129
