Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
0	-38.05231	-39.89602	1.843711	0.0576792	0.205886
10	-37.43199	-38.00924	0.5772532	0.185089	0.187557
20	-38.3139	-37.46433	-0.8495668	0.203377	0.292162
30	-39.27401	-39.77033	0.4963144	0.310453	0.069165
40	-37.65752	-38.46703	0.8095077	0.127615	0.225027
50	-38.41681	-37.24921	-1.167604	0.228682	0.294249
60	-37.76709	-38.13238	0.3652938	0.252289	0.138614
70	-39.2478	-42.12101	2.873215	0.147122	0.0277717
80	-37.63976	-37.72606	0.08629503	0.234724	0.180209
90	-37.80246	-39.09831	1.295853	0.235482	0.0752707
100	-37.61985	-39.36591	1.74606	0.194704	0.0772722
110	-37.94401	-39.29811	1.3541	0.239585	0.0661506
120	-39.97807	-36.98612	-2.991954	0.319458	0.360606
130	-37.95575	-37.34286	-0.6128922	0.247334	0.22782
140	-37.41232	-38.25	0.837676	0.194826	0.15539
150	-38.19667	-40.90606	2.709384	0.0462402	0.142764
160	-37.83606	-38.65083	0.8147674	0.114866	0.237323
170	-37.52876	-38.34292	0.8141581	0.226178	0.126063
180	-37.89358	-39.89922	2.005646	0.116151	0.133467
190	-42.21612	-37.3863	-4.829819	0.329609	0.508751
200	-38.61385	-38.72805	0.1141956	0.299405	0.113125
210	-37.92127	-39.15417	1.232901	0.243672	0.0725028
220	-37.8427	-38.68508	0.8423827	0.112917	0.236893
230	-37.81218	-37.406	-0.4061867	0.232846	0.224504
240	-38.21145	-38.76105	0.549594	0.275633	0.0993959
250	-37.4739	-38.01489	0.5409898	0.171399	0.204371
260	-37.6604	-37.6432	-0.0172052	0.192572	0.231275
270	-37.69178	-39.45479	1.76301	0.163886	0.10663
280	-37.6314	-37.56781	-0.06358404	0.217012	0.21083
290	-37.67085	-37.63821	-0.0326362	0.234939	0.190237
300	-37.42116	-38.10722	0.6860652	0.178165	0.185109
310	-37.74882	-37.89791	0.1490959	0.249875	0.159648
320	-37.43242	-38.42374	0.9913125	0.203042	0.133941
330	-38.0768	-40.58755	2.510746	0.0437291	0.162384
340	-37.89818	-40.24493	2.346754	0.0715643	0.148674
350	-37.57859	-38.11888	0.5402828	0.23359	0.142241
360	-38.45533	-38.08419	-0.3711452	0.157249	0.297083
370	-37.49684	-37.78416	0.2873231	0.199921	0.197697
380	-39.07599	-38.64821	-0.4277803	0.323749	0.135462
390	-38.4301	-38.01222	-0.4178777	0.295352	0.163006
400	-37.89914	-39.84245	1.943313	0.147559	0.107428
410	-39.32726	-37.27367	-2.05359	0.243313	0.355929
420	-38.78279	-41.33983	2.557043	0.126592	0.0755335
430	-37.73771	-38.37227	0.6345583	0.132099	0.235611
440	-37.55615	-37.85055	0.2944068	0.177434	0.219574
450	-38.77851	-40.08874	1.310232	0.265839	0.0436759
460	-38.87628	-39.05257	0.1762911	0.307565	0.0996161
470	-38.02319	-37.96767	-0.05552616	0.271126	0.156022
480	-38.28268	-40.24027	1.95759	0.0461917	0.207565
490	-37.59102	-39.30886	1.717832	0.110087	0.16432
500	-37.42735	-38.01172	0.5843652	0.193286	0.178747
510	-39.08099	-39.58756	0.5065658	0.305265	0.0734694
520	-41.24227	-44.6433	3.401033	0.101702	0.0277304
530	-37.85327	-38.38813	0.53486	0.130506	0.245792
540	-37.71439	-39.4481	1.733717	0.154837	0.118202
550	-37.75703	-38.93734	1.180309	0.237302	0.0834022
560	-37.42717	-38.01788	0.5907179	0.188063	0.183423
570	-37.86497	-39.76868	1.903708	0.14784	0.110558
580	-37.93977	-38.56108	0.6213095	0.120277	0.248575
590	-37.48709	-38.61723	1.130141	0.130763	0.194263
600	-37.92476	-37.55917	-0.3655893	0.258274	0.195579
610	-37.72649	-39.38763	1.661136	0.212646	0.0666453
620	-37.43072	-38.06509	0.6343711	0.17787	0.189857
630	-39.83693	-39.4701	-0.3668241	0.111279	0.342681
640	-39.88348	-39.94097	0.05749877	0.337941	0.0794721
650	-37.84917	-38.62135	0.7721792	0.11654	0.239317
660	-37.92415	-37.33305	-0.5911049	0.239789	0.233488
670	-38.07883	-37.30348	-0.7753496	0.25696	0.232187
680	-37.4795	-37.94096	0.4614583	0.214372	0.168248
690	-37.96429	-38.68753	0.723241	0.260688	0.0993846
700	-38.73997	-37.6536	-1.086371	0.309553	0.206382
710	-38.26077	-37.84793	-0.4128358	0.17063	0.287293
720	-38.08933	-38.93168	0.8423547	0.263633	0.0861798
730	-37.87923	-37.46522	-0.4140157	0.204868	0.253157
740	-37.80809	-38.24852	0.4404243	0.255129	0.129302
750	-37.92518	-37.40608	-0.5191005	0.211661	0.255415
760	-37.42143	-38.08951	0.6680796	0.197958	0.166866
770	-38.55945	-38.61616	0.05671362	0.298084	0.119397
780	-37.64317	-37.64348	0.0003165318	0.19392	0.228418
790	-37.90667	-38.52916	0.6224948	0.259415	0.109334
800	-37.55928	-37.71377	0.1544924	0.19402	0.215039
810	-37.49477	-38.89744	1.402668	0.200781	0.100771
820	-37.44015	-38.04149	0.6013359	0.176785	0.193787
830	-37.64095	-38.79605	1.155105	0.230337	0.0925385
840	-39.41928	-37.596	-1.823276	0.215913	0.363492
850	-37.5583	-37.67304	0.1147404	0.212955	0.199528
860	-37.82823	-38.84706	1.018829	0.104093	0.230521
870	-38.27619	-37.5164	-0.759791	0.198034	0.289772
880	-39.28175	-40.04475	0.7629962	0.301152	0.0554964
890	-37.46423	-38.63272	1.16849	0.207156	0.114567
900	-38.73363	-37.32819	-1.405442	0.302038	0.241379
910	-37.46003	-38.53786	1.077827	0.140274	0.189258
920	-38.57119	-40.82895	2.257754	0.19859	0.0293136
930	-37.50619	-38.03924	0.5330504	0.164905	0.211548
940	-37.96833	-38.10941	0.1410817	0.267446	0.142768
950	-37.86415	-37.70569	-0.1584614	0.257017	0.178996
960	-37.64068	-37.96662	0.3259348	0.162439	0.231854
970	-38.02465	-40.48809	2.463443	0.0470337	0.163154
980	-37.89168	-37.41024	-0.4814377	0.212418	0.251414
990	-38.90068	-41.82208	2.921396	0.0620251	0.108719
1000	-38.13106	-40.66539	2.534339	0.0697652	0.134316
