Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
0	-79.38043	-84.01642	4.635993	1.601263	1.036468	0.340643	0.10138	0.0343089	0.384965	0.00460644	0.0467807	0.0350052	0.0523104
10	-80.06216	-85.34811	5.285943	1.722016	0.5907404	0.531237	0.105374	0.0320039	0.0455578	0.00718379	0.0390487	0.166434	0.0731614
20	-79.72628	-85.85545	6.129171	1.05373	0.8374122	0.124559	0.299793	0.0145606	0.0304196	0.0851325	0.318308	0.0949437	0.0322827
30	-80.32648	-84.94182	4.615334	1.927902	0.7201586	0.530612	0.0368162	0.01981	0.0175404	0.0189913	0.135458	0.0526233	0.188148
40	-78.77495	-84.51896	5.744014	1.449668	0.6340524	0.362441	0.191718	0.0081174	0.00718743	0.0131644	0.0815207	0.258755	0.0770964
50	-80.39768	-83.44695	3.049268	2.108883	1.322211	0.233166	0.225004	0.0057032	0.00980788	0.179491	0.225478	0.0161457	0.105205
60	-79.3631	-84.45429	5.091191	1.68749	0.7226425	0.151113	0.0967117	0.0133741	0.0138135	0.490387	0.111359	0.0712921	0.0519493
70	-79.90558	-83.74736	3.841785	1.836482	1.198353	0.204424	0.148727	0.280757	0.0364943	0.12488	0.047293	0.0373198	0.120105
80	-79.22537	-83.93267	4.707296	1.648672	0.9534084	0.0649074	0.206114	0.127567	0.284921	0.135244	0.0293283	0.0540307	0.0978883
90	-80.67054	-83.36381	2.693276	2.324275	1.284815	0.0477069	0.0266803	0.472221	0.0856848	0.0186533	0.0459752	0.1182	0.184878
100	-81.90449	-84.18168	2.277185	2.63199	1.185145	0.105754	0.0274427	0.11611	0.0210682	0.00458647	0.190812	0.258437	0.27579
110	-80.40234	-83.37624	2.973899	2.1405	1.328279	0.0666444	0.0674064	0.0509112	0.369903	0.00291234	0.200376	0.0290766	0.212771
120	-80.21637	-83.35245	3.136084	2.122738	1.264948	0.0944582	0.0714187	0.285082	0.0487085	0.00439277	0.269965	0.141378	0.0845967
130	-80.90223	-83.89423	2.992002	2.328635	1.131092	0.165054	0.0475744	0.112487	0.233773	0.00306648	0.140466	0.22211	0.0754685
140	-79.40811	-83.93001	4.521901	1.643826	1.050951	0.23452	0.163856	0.193337	0.0451435	0.00280491	0.0382992	0.203164	0.118875
150	-82.1187	-83.93396	1.81526	2.395157	1.652941	0.0974847	0.0771583	0.0847941	0.429571	0.0091687	0.188844	0.0667708	0.0462088
160	-79.85973	-83.65743	3.797695	1.871474	1.185406	0.251894	0.127231	0.0896417	0.29076	0.0797229	0.0384199	0.0905378	0.0317928
170	-78.98837	-84.99664	6.008267	1.341472	0.6101223	0.375792	0.126577	0.0332684	0.107898	0.117268	0.0725421	0.106626	0.0600293
