Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
0	-81.82351	-83.75907	1.935561	2.380487	1.60746	0.0986931	0.00878075	0.100694	0.0497955	0.234889	0.253138	0.021963	0.232047
10	-80.74197	-85.17747	4.435502	1.534855	1.203122	0.0622428	0.236101	0.087938	0.170297	0.0879182	0.0031591	0.0304654	0.321878
20	-78.80434	-84.39526	5.590917	1.411152	0.7491173	0.109822	0.183567	0.0653721	0.198379	0.211101	0.00736188	0.029387	0.195011
30	-79.14504	-85.00717	5.862127	1.190029	0.8346349	0.0524216	0.136907	0.0387182	0.546996	0.0326739	0.00947754	0.0153847	0.167421
40	-79.69785	-83.96683	4.268983	1.771389	1.049847	0.722516	0.091322	0.0459892	0.0489163	0.0136347	0.033617	0.0355859	0.00841922
50	-78.93585	-84.85476	5.918914	1.491796	0.5044751	0.295249	0.105118	0.145959	0.0122783	0.0559192	0.0204913	0.175902	0.189082
60	-78.35812	-84.45101	6.092889	1.37659	0.5326939	0.00368556	0.0973401	0.0742524	0.0397007	0.318865	0.108711	0.0941847	0.26326
70	-78.3202	-84.5207	6.200505	1.2279	0.627575	0.00503209	0.0636295	0.0219297	0.0399172	0.367285	0.0887653	0.0614518	0.351989
80	-80.49447	-83.46715	2.97268	2.126384	1.343004	0.000197365	0.0784764	0.611937	0.00752442	0.188513	0.0299509	0.00894191	0.0744589
90	-79.25891	-84.4319	5.17299	1.64203	0.727203	0.00149531	0.0281274	0.360697	0.18658	0.0847333	0.225948	0.0414834	0.0709356
100	-79.27234	-84.61658	5.344243	1.353936	0.9296704	0.0256633	0.17491	0.0579408	0.13004	0.00505775	0.235653	0.0481282	0.322607
110	-78.45231	-85.25964	6.807333	1.160622	0.3914391	0.198407	0.0929974	0.0532104	0.116392	0.032025	0.0481273	0.0317094	0.427131
120	-79.24393	-86.14893	6.905007	1.134768	0.368456	0.336212	0.0901974	0.0430491	0.073437	0.22873	0.0146917	0.0498141	0.16387
130	-79.77083	-85.65084	5.880009	1.52834	0.487383	0.47526	0.0233783	0.0772756	0.131824	0.0584641	0.066708	0.0900713	0.0770186
