Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	q_01A	q_01B	q_10A	q_10B	root_frequencies[1]	root_frequencies[2]	root_frequencies[3]	root_frequencies[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-36.81116	-23.46605	-13.34511	0.184746	0.156064	0.0302169	0.0255256	-1.68877	-1.85749	-1.81058	-0.173478	0.3695508	0.1191899	0.003542157	0.004366022	0.1609975	0.0001605184	0.0777862	0.416701	0.209882	0.295631	0.858527	1.12706	58937.9	77372.9	-0.152537	0.119616	11.1368	0.997525
1	-35.71987	-23.28145	-12.43843	0.184746	0.156064	0.0302169	0.0255256	-1.68877	-1.85749	-1.81058	-0.173478	0.3695508	0.1191899	0.003542157	0.004366022	0.1609975	0.0001605184	0.0935571	0.501186	0.178553	0.226704	0.858527	1.12706	58937.9	77372.9	-0.152537	0.119616	11.1368	0.0908425
2	-36.00738	-24.18115	-11.82623	0.184746	0.156064	0.0302169	0.0255256	-1.68877	-1.85749	-1.81058	-0.173478	0.3695508	0.1191899	0.003542157	0.001246153	0.1609975	0.0001067546	0.358625	0.229584	0.120296	0.291496	0.858527	1.12706	58937.9	77372.9	-0.152537	0.119616	11.1368	0.383172
3	-36.99488	-24.2244	-12.77048	0.184746	0.156064	0.0302169	0.0255256	-1.68877	-1.85749	-1.81058	-0.173478	0.3695508	0.1191899	0.003542157	0.006463955	0.1609975	0.0001067546	0.173321	0.220061	0.515802	0.0908157	0.858527	1.12706	58937.9	77372.9	-0.152537	0.119616	11.1368	0.383172
4	-37.08518	-24.15425	-12.93093	0.184746	0.156064	0.0302169	0.0255256	-1.68877	-1.85749	-1.81058	-0.173478	0.3695508	0.1191899	0.003542157	0.006463955	0.1609975	0.0001381943	0.0908157	0.220061	0.173321	0.515802	0.858527	1.12706	58937.9	77372.9	-0.152537	0.119616	11.1368	0.413832
5	-36.10242	-24.31134	-11.79108	0.184746	0.156064	0.0302169	0.0255256	-1.68877	-1.85749	-1.81058	-0.173478	0.3695508	0.1191899	0.003542157	0.006463955	0.1609968	1.422139e-05	0.173321	0.220061	0.0908157	0.515802	0.858527	1.12706	58937.9	77372.9	-0.152537	0.119616	11.1368	0.413832
6	-29.1969	-20.88596	-8.310942	0.184746	0.156064	0.0302169	0.0255256	-1.68877	-1.85749	-1.81058	-1.05398	0.3695508	0.1191899	0.003542157	7.638096e-05	0.1609968	8.157662e-07	0.0908157	0.515802	0.173321	0.220061	0.858527	1.12706	58937.9	77372.9	-0.152537	0.119616	11.1368	0.190255
7	-34.12913	-22.33946	-11.78967	0.184746	0.156064	0.0302169	0.0255256	-1.68877	-1.85749	-1.81058	-1.05398	0.3695508	0.1191899	0.003542157	0.011709	0.1609968	1.594266e-06	0.515802	0.0908157	0.220061	0.173321	0.858527	1.12706	58937.9	77372.9	-0.152537	0.119616	11.1368	0.547635
8	-32.31387	-21.41534	-10.89854	0.184746	0.156064	0.0302169	0.0255256	-1.68877	-1.85749	-1.81058	0.291274	0.3695508	0.1191899	0.003542157	0.006878854	0.1609968	1.594266e-06	0.357134	0.314927	0.147383	0.180556	0.858527	1.12706	58937.9	77372.9	-0.152537	0.119616	11.1368	0.547635
9	-32.47163	-21.05013	-11.4215	0.184746	0.156064	0.0302169	0.0255256	-1.68877	-1.85749	-1.81058	0.6698	0.3695508	0.1191899	0.003542157	0.006878854	0.1609968	1.594266e-06	0.134825	0.488439	0.110055	0.266681	0.858527	1.12706	58937.9	77372.9	-0.152537	0.119616	11.1368	0.8887
