Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-1.253585e+07	-1.253585e+07	2.587311	-0.921068	0.775893	0.224107	1.55179	0.448213	0.05014803
1	1	-9.358428e+07	-9.358429e+07	6.022995	0.0939189	0.474514	0.525486	0.949028	1.05097	0.001614935
2	0	-90717.14	-90716.79	-0.3543844	0.0130535	0.860682	0.139318	1.72136	0.278636	0.950202
3	1	-251677.8	-251678.2	0.3979609	0.0652743	0.710388	0.289612	1.42078	0.579225	0.4477922
4	0	-89853.46	-89853.1	-0.3543844	0.0128677	0.873834	0.126166	1.74767	0.252332	0.950202
5	1	-92584.1	-92583.79	-0.3123013	0.0125043	0.894962	0.105038	1.78992	0.210075	0.9110443
6	0	-84369.96	-84369.56	-0.3995842	0.0218497	0.915705	0.0842947	1.83141	0.168589	0.9941364
7	1	-84441.58	-84441.17	-0.4019392	0.0187223	0.932999	0.0670006	1.866	0.134001	0.9964803
8	0	-84359.88	-84359.48	-0.3995842	0.0147676	0.918625	0.0813745	1.83725	0.162749	0.9941364
9	1	-84165.28	-84164.88	-0.4019392	0.0187223	0.920439	0.0795608	1.84088	0.159122	0.9964803
10	0	-84359.26	-84358.86	-0.3995842	0.0182568	0.918625	0.0813745	1.83725	0.162749	0.9941364
11	1	-84164.27	-84163.87	-0.4019392	0.0174107	0.9169	0.0830998	1.8338	0.1662	0.9964803
12	0	-84359.34	-84358.94	-0.3995842	0.0163875	0.918625	0.0813745	1.83725	0.162749	0.9941364
13	1	-84164.88	-84164.48	-0.4019392	0.0146808	0.9169	0.0830998	1.8338	0.1662	0.9964803
14	0	-84359.34	-84358.94	-0.3995842	0.0163875	0.918625	0.0813745	1.83725	0.162749	0.9941364
15	1	-84165.61	-84165.21	-0.4019392	0.0213793	0.9169	0.0830998	1.8338	0.1662	0.9964803
16	0	-84360.55	-84360.15	-0.3995842	0.0163875	0.917516	0.0824837	1.83503	0.164967	0.9941364
17	1	-84166.25	-84165.85	-0.4019392	0.0135656	0.920346	0.0796539	1.84069	0.159308	0.9964803
18	0	-84360.58	-84360.18	-0.3995842	0.0186506	0.917516	0.0824837	1.83503	0.164967	0.9941364
19	1	-84167.07	-84166.66	-0.4019392	0.0125327	0.920346	0.0796539	1.84069	0.159308	0.9964803
20	0	-84360.46	-84360.06	-0.3995842	0.0172856	0.917516	0.0824837	1.83503	0.164967	0.9941364
21	1	-84165.68	-84165.28	-0.4019392	0.0209625	0.920346	0.0796539	1.84069	0.159308	0.9964803
22	0	-84042.35	-84041.94	-0.4050278	0.0584014	0.918882	0.0811181	1.83776	0.162236	0.9995628
23	1	-84165.28	-84164.88	-0.4019392	0.0201075	0.920346	0.0796539	1.84069	0.159308	0.9964803
24	0	-83902.38	-83901.98	-0.4050278	0.0187148	0.918882	0.0811181	1.83776	0.162236	0.9995628
25	1	-84167.41	-84167.01	-0.4019392	0.0232932	0.920346	0.0796539	1.84069	0.159308	0.9964803
26	0	-83902.38	-83901.98	-0.4050278	0.0187148	0.918882	0.0811181	1.83776	0.162236	0.9995628
27	1	-84164.93	-84164.53	-0.4019392	0.0189444	0.920346	0.0796539	1.84069	0.159308	0.9964803
28	0	-83902.47	-83902.06	-0.4050278	0.0160554	0.918882	0.0811181	1.83776	0.162236	0.9995628
29	1	-84164.81	-84164.41	-0.4019392	0.0174255	0.920346	0.0796539	1.84069	0.159308	0.9964803
30	0	-83905.4	-83905	-0.4050278	0.0236861	0.918882	0.0811181	1.83776	0.162236	0.9995628
31	1	-84164.86	-84164.46	-0.4019392	0.0168943	0.920346	0.0796539	1.84069	0.159308	0.9964803
32	0	-83902.36	-83901.96	-0.4050278	0.0165381	0.918882	0.0811181	1.83776	0.162236	0.9995628
33	1	-84165.61	-84165.2	-0.4019392	0.0146312	0.920346	0.0796539	1.84069	0.159308	0.9964803
34	0	-83902.3	-83901.9	-0.4050278	0.0170067	0.918882	0.0811181	1.83776	0.162236	0.9995628
35	1	-84163.31	-84162.91	-0.4019392	0.0157488	0.917264	0.082736	1.83453	0.165472	0.9964803
36	0	-83902.32	-83901.92	-0.4050278	0.0183425	0.918882	0.0811181	1.83776	0.162236	0.9995628
37	1	-83896.51	-83896.11	-0.4052838	0.00454226	0.917264	0.082736	1.83453	0.165472	0.9998187
38	0	-83902.94	-83902.53	-0.4050278	0.0203864	0.918882	0.0811181	1.83776	0.162236	0.9995628
39	1	-83883.45	-83883.04	-0.4052838	0.014284	0.917264	0.082736	1.83453	0.165472	0.9998187
40	0	-83903.47	-83903.06	-0.4050278	0.0203864	0.917843	0.0821567	1.83569	0.164313	0.9995628
41	1	-83882.91	-83882.5	-0.4052838	0.0192556	0.917264	0.082736	1.83453	0.165472	0.9998187
42	0	-83903.47	-83903.06	-0.4050278	0.0203864	0.917843	0.0821567	1.83569	0.164313	0.9995628
43	1	-83884.15	-83883.74	-0.4052838	0.0132309	0.917245	0.0827552	1.83449	0.16551	0.9998187
44	0	-83902.76	-83902.36	-0.4050278	0.0171814	0.917843	0.0821567	1.83569	0.164313	0.9995628
45	1	-83882.69	-83882.28	-0.4052838	0.0171359	0.917245	0.0827552	1.83449	0.16551	0.9998187
46	0	-83903.16	-83902.75	-0.4050278	0.0196706	0.917843	0.0821567	1.83569	0.164313	0.9995628
