Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-83901.5	-83901.09	-0.4050604	0.0215335	0.919405	0.0805947	1.83881	0.161189	0.9995954
10	-83900.24	-83899.84	-0.4050604	0.0171524	0.919405	0.0805947	1.83881	0.161189	0.9995954
20	-83900.5	-83900.1	-0.4050604	0.0194605	0.919405	0.0805947	1.83881	0.161189	0.9995954
30	-83900.67	-83900.27	-0.4050604	0.0199426	0.919405	0.0805947	1.83881	0.161189	0.9995954
40	-83900.11	-83899.71	-0.4050604	0.0199426	0.919008	0.0809924	1.83802	0.161985	0.9995954
50	-83899.65	-83899.24	-0.4050604	0.0175661	0.919008	0.0809924	1.83802	0.161985	0.9995954
60	-83899.65	-83899.25	-0.4050604	0.0176723	0.919008	0.0809924	1.83802	0.161985	0.9995954
70	-83901.14	-83900.74	-0.4050604	0.0133659	0.919008	0.0809924	1.83802	0.161985	0.9995954
80	-83902.81	-83902.41	-0.4050604	0.0114388	0.918049	0.0819505	1.8361	0.163901	0.9995954
90	-83899.77	-83899.37	-0.4050604	0.0181366	0.918049	0.0819505	1.8361	0.163901	0.9995954
100	-83900.23	-83899.82	-0.4050604	0.0150863	0.918049	0.0819505	1.8361	0.163901	0.9995954
110	-83900.17	-83899.77	-0.4050604	0.0152219	0.918049	0.0819505	1.8361	0.163901	0.9995954
120	-83902.69	-83902.28	-0.4050604	0.0115638	0.918049	0.0819505	1.8361	0.163901	0.9995954
130	-83900.13	-83899.73	-0.4050604	0.0196586	0.918049	0.0819505	1.8361	0.163901	0.9995954
140	-83900.62	-83900.22	-0.4050604	0.0207446	0.918049	0.0819505	1.8361	0.163901	0.9995954
150	-83899.75	-83899.35	-0.4050604	0.0179186	0.918049	0.0819505	1.8361	0.163901	0.9995954
160	-83899.84	-83899.44	-0.4050604	0.0186118	0.918049	0.0819505	1.8361	0.163901	0.9995954
170	-83900.49	-83900.09	-0.4050604	0.0144936	0.918049	0.0819505	1.8361	0.163901	0.9995954
180	-83902.09	-83901.69	-0.4050604	0.0128801	0.919394	0.0806057	1.83879	0.161211	0.9995954
190	-83900.08	-83899.67	-0.4050604	0.0156223	0.918013	0.081987	1.83603	0.163974	0.9995954
200	-83899.81	-83899.4	-0.4050604	0.0169665	0.918013	0.081987	1.83603	0.163974	0.9995954
210	-83899.8	-83899.4	-0.4050604	0.0179538	0.918013	0.081987	1.83603	0.163974	0.9995954
220	-83901.93	-83901.52	-0.4050604	0.0225537	0.918013	0.081987	1.83603	0.163974	0.9995954
230	-83900.68	-83900.27	-0.4050604	0.0207628	0.918013	0.081987	1.83603	0.163974	0.9995954
240	-83901.14	-83900.74	-0.4050604	0.0134219	0.919043	0.0809571	1.83809	0.161914	0.9995954
250	-83899.73	-83899.32	-0.4050604	0.0182918	0.919043	0.0809571	1.83809	0.161914	0.9995954
260	-83900.36	-83899.95	-0.4050604	0.0179004	0.917669	0.0823309	1.83534	0.164662	0.9995954
270	-83899.57	-83899.17	-0.4050604	0.0183841	0.918311	0.0816894	1.83662	0.163379	0.9995954
280	-83900.32	-83899.92	-0.4050604	0.0206319	0.918311	0.0816894	1.83662	0.163379	0.9995954
290	-83899.82	-83899.42	-0.4050604	0.0155942	0.918311	0.0816894	1.83662	0.163379	0.9995954
300	-83899.95	-83899.54	-0.4050604	0.0198056	0.918311	0.0816894	1.83662	0.163379	0.9995954
310	-83899.95	-83899.54	-0.4050604	0.0198056	0.918311	0.0816894	1.83662	0.163379	0.9995954
320	-83899.63	-83899.23	-0.4050604	0.0163096	0.918311	0.0816894	1.83662	0.163379	0.9995954
330	-83900.65	-83900.24	-0.4050604	0.0212068	0.918311	0.0816894	1.83662	0.163379	0.9995954
340	-83900.3	-83899.89	-0.4050604	0.0205848	0.918311	0.0816894	1.83662	0.163379	0.9995954
350	-83899.6	-83899.2	-0.4050604	0.0185687	0.918311	0.0816894	1.83662	0.163379	0.9995954
360	-83903.3	-83902.9	-0.4050604	0.0107921	0.918311	0.0816894	1.83662	0.163379	0.9995954
370	-83899.56	-83899.15	-0.4050604	0.0167995	0.918311	0.0816894	1.83662	0.163379	0.9995954
380	-83899.56	-83899.15	-0.4050604	0.0167995	0.918311	0.0816894	1.83662	0.163379	0.9995954
390	-83899.52	-83899.12	-0.4050604	0.0178554	0.918311	0.0816894	1.83662	0.163379	0.9995954
400	-83899.59	-83899.18	-0.4050604	0.0184833	0.918311	0.0816894	1.83662	0.163379	0.9995954
410	-83899.59	-83899.18	-0.4050604	0.0184833	0.918311	0.0816894	1.83662	0.163379	0.9995954
420	-83900.35	-83899.94	-0.4050604	0.0206793	0.918311	0.0816894	1.83662	0.163379	0.9995954
430	-83899.52	-83899.11	-0.4050604	0.0178292	0.918311	0.0816894	1.83662	0.163379	0.9995954
440	-83880.77	-83880.36	-0.4052877	0.0193698	0.918311	0.0816894	1.83662	0.163379	0.9998226
450	-83881.11	-83880.7	-0.4052877	0.0147864	0.918311	0.0816894	1.83662	0.163379	0.9998226
460	-83881.57	-83881.17	-0.4052877	0.0147365	0.91922	0.0807799	1.83844	0.16156	0.9998226
470	-83880.94	-83880.53	-0.4052877	0.0184056	0.91922	0.0807799	1.83844	0.16156	0.9998226
480	-83881.5	-83881.09	-0.4052877	0.0149012	0.91922	0.0807799	1.83844	0.16156	0.9998226
490	-83884.72	-83884.32	-0.4052877	0.0220296	0.917061	0.0829393	1.83412	0.165879	0.9998226
500	-83886.03	-83885.62	-0.4052877	0.0234878	0.917061	0.0829393	1.83412	0.165879	0.9998226
510	-83884.48	-83884.07	-0.4052877	0.0130947	0.917061	0.0829393	1.83412	0.165879	0.9998226
520	-83883.9	-83883.49	-0.4052877	0.0139881	0.917061	0.0829393	1.83412	0.165879	0.9998226
530	-83883.98	-83883.57	-0.4052877	0.0138569	0.917061	0.0829393	1.83412	0.165879	0.9998226
540	-83883.62	-83883.21	-0.4052877	0.014525	0.917061	0.0829393	1.83412	0.165879	0.9998226
550	-83883.92	-83883.52	-0.4052877	0.0169465	0.916787	0.0832127	1.83357	0.166425	0.9998226
560	-83884.08	-83883.68	-0.4052877	0.0188244	0.916787	0.0832127	1.83357	0.166425	0.9998226
570	-83884.07	-83883.67	-0.4052877	0.0187778	0.916787	0.0832127	1.83357	0.166425	0.9998226
580	-83885.69	-83885.28	-0.4052877	0.0219845	0.916787	0.0832127	1.83357	0.166425	0.9998226
590	-83884.1	-83883.7	-0.4052877	0.0188957	0.916787	0.0832127	1.83357	0.166425	0.9998226
600	-83883.94	-83883.53	-0.4052877	0.0167774	0.916787	0.0832127	1.83357	0.166425	0.9998226
610	-83882.11	-83881.71	-0.4052877	0.016622	0.919763	0.080237	1.83953	0.160474	0.9998226
620	-83882.02	-83881.62	-0.4052877	0.0176631	0.919763	0.080237	1.83953	0.160474	0.9998226
630	-83884.82	-83884.41	-0.4052877	0.0118869	0.919763	0.080237	1.83953	0.160474	0.9998226
640	-83882.48	-83882.08	-0.4052877	0.0200186	0.919763	0.080237	1.83953	0.160474	0.9998226
650	-83882.03	-83881.62	-0.4052877	0.0179171	0.919763	0.080237	1.83953	0.160474	0.9998226
660	-83882.29	-83881.89	-0.4052877	0.0158702	0.919763	0.080237	1.83953	0.160474	0.9998226
670	-83882.92	-83882.52	-0.4052877	0.0209452	0.919763	0.080237	1.83953	0.160474	0.9998226
680	-83882.09	-83881.69	-0.4052877	0.0186034	0.919763	0.080237	1.83953	0.160474	0.9998226
690	-83882.37	-83881.96	-0.4052877	0.0156236	0.919763	0.080237	1.83953	0.160474	0.9998226
700	-83882.82	-83882.42	-0.4052877	0.0207593	0.919763	0.080237	1.83953	0.160474	0.9998226
710	-83882.9	-83882.5	-0.4052877	0.0144177	0.919763	0.080237	1.83953	0.160474	0.9998226
720	-83883.68	-83883.27	-0.4052877	0.0132167	0.919763	0.080237	1.83953	0.160474	0.9998226
730	-83883.49	-83883.09	-0.4052877	0.0218557	0.919763	0.080237	1.83953	0.160474	0.9998226
740	-83882.02	-83881.62	-0.4052877	0.0176664	0.919763	0.080237	1.83953	0.160474	0.9998226
750	-83880.99	-83880.58	-0.4052877	0.0182512	0.919266	0.0807341	1.83853	0.161468	0.9998226
760	-83883.45	-83883.05	-0.4052877	0.0121502	0.919266	0.0807341	1.83853	0.161468	0.9998226
770	-83882.84	-83882.43	-0.4052877	0.0223611	0.919266	0.0807341	1.83853	0.161468	0.9998226
780	-83881.06	-83880.65	-0.4052877	0.0164809	0.919266	0.0807341	1.83853	0.161468	0.9998226
790	-83881.49	-83881.09	-0.4052877	0.0159198	0.917679	0.0823209	1.83536	0.164642	0.9998226
800	-83881.31	-83880.9	-0.4052877	0.0170593	0.917679	0.0823209	1.83536	0.164642	0.9998226
810	-83881.33	-83880.93	-0.4052877	0.0181774	0.917679	0.0823209	1.83536	0.164642	0.9998226
820	-83881.92	-83881.52	-0.4052877	0.0196669	0.919588	0.0804118	1.83918	0.160824	0.9998226
830	-83883.16	-83882.76	-0.4052877	0.0132978	0.919588	0.0804118	1.83918	0.160824	0.9998226
840	-83881.8	-83881.39	-0.4052877	0.0160309	0.919588	0.0804118	1.83918	0.160824	0.9998226
850	-83882.74	-83882.33	-0.4052877	0.0213634	0.919588	0.0804118	1.83918	0.160824	0.9998226
860	-83881.63	-83881.22	-0.4052877	0.0213634	0.918652	0.0813476	1.8373	0.162695	0.9998226
870	-83880.76	-83880.36	-0.4052877	0.0195888	0.918652	0.0813476	1.8373	0.162695	0.9998226
880	-83880.42	-83880.01	-0.4052877	0.0177501	0.918652	0.0813476	1.8373	0.162695	0.9998226
890	-83880.49	-83880.08	-0.4052877	0.0166319	0.918652	0.0813476	1.8373	0.162695	0.9998226
900	-83880.85	-83880.44	-0.4052877	0.0198303	0.918652	0.0813476	1.8373	0.162695	0.9998226
910	-83880.51	-83880.1	-0.4052877	0.0186138	0.918652	0.0813476	1.8373	0.162695	0.9998226
920	-83880.44	-83880.04	-0.4052877	0.0181402	0.918652	0.0813476	1.8373	0.162695	0.9998226
930	-83884.49	-83884.09	-0.4052877	0.0105751	0.918652	0.0813476	1.8373	0.162695	0.9998226
940	-83884.08	-83883.68	-0.4052877	0.0124389	0.919679	0.0803207	1.83936	0.160641	0.9998226
950	-83881.89	-83881.48	-0.4052877	0.0186678	0.919679	0.0803207	1.83936	0.160641	0.9998226
960	-83882.13	-83881.73	-0.4052877	0.0156682	0.919679	0.0803207	1.83936	0.160641	0.9998226
970	-83881.9	-83881.5	-0.4052877	0.0165649	0.919679	0.0803207	1.83936	0.160641	0.9998226
980	-83882.38	-83881.97	-0.4052877	0.020284	0.919679	0.0803207	1.83936	0.160641	0.9998226
990	-83881.82	-83881.42	-0.4052877	0.0181934	0.919679	0.0803207	1.83936	0.160641	0.9998226
1000	-83882.84	-83882.43	-0.4052877	0.0141411	0.919679	0.0803207	1.83936	0.160641	0.9998226
1010	-83881.88	-83881.48	-0.4052877	0.0166712	0.919679	0.0803207	1.83936	0.160641	0.9998226
1020	-83882.13	-83881.72	-0.4052877	0.0156759	0.919679	0.0803207	1.83936	0.160641	0.9998226
1030	-83882.1	-83881.7	-0.4052877	0.0131395	0.918291	0.0817088	1.83658	0.163418	0.9998226
1040	-83880.68	-83880.28	-0.4052877	0.0190094	0.918291	0.0817088	1.83658	0.163418	0.9998226
1050	-83881.78	-83881.38	-0.4052877	0.0214373	0.918291	0.0817088	1.83658	0.163418	0.9998226
1060	-83880.95	-83880.54	-0.4052877	0.0151884	0.918291	0.0817088	1.83658	0.163418	0.9998226
1070	-83880.57	-83880.16	-0.4052877	0.016586	0.918291	0.0817088	1.83658	0.163418	0.9998226
1080	-83881.2	-83880.79	-0.4052877	0.0204128	0.918291	0.0817088	1.83658	0.163418	0.9998226
1090	-83880.68	-83880.28	-0.4052877	0.0160214	0.918291	0.0817088	1.83658	0.163418	0.9998226
1100	-83882.62	-83882.22	-0.4052877	0.0225596	0.918291	0.0817088	1.83658	0.163418	0.9998226
1110	-83880.63	-83880.23	-0.4052877	0.0187928	0.918291	0.0817088	1.83658	0.163418	0.9998226
1120	-83880.85	-83880.44	-0.4052877	0.0195655	0.918291	0.0817088	1.83658	0.163418	0.9998226
1130	-83881.22	-83880.81	-0.4052877	0.0204523	0.918291	0.0817088	1.83658	0.163418	0.9998226
1140	-83881.22	-83880.81	-0.4052877	0.0204523	0.918291	0.0817088	1.83658	0.163418	0.9998226
1150	-83881.17	-83880.76	-0.4052877	0.0203521	0.918291	0.0817088	1.83658	0.163418	0.9998226
1160	-83880.94	-83880.54	-0.4052877	0.0198327	0.918291	0.0817088	1.83658	0.163418	0.9998226
1170	-83880.94	-83880.54	-0.4052877	0.0198269	0.918291	0.0817088	1.83658	0.163418	0.9998226
1180	-83881.43	-83881.02	-0.4052877	0.0141838	0.918291	0.0817088	1.83658	0.163418	0.9998226
1190	-83880.94	-83880.53	-0.4052877	0.0152222	0.918291	0.0817088	1.83658	0.163418	0.9998226
1200	-83880.67	-83880.26	-0.4052877	0.0189636	0.918291	0.0817088	1.83658	0.163418	0.9998226
1210	-83880.73	-83880.32	-0.4052877	0.0191908	0.918291	0.0817088	1.83658	0.163418	0.9998226
1220	-83880.52	-83880.12	-0.4052877	0.0180722	0.918291	0.0817088	1.83658	0.163418	0.9998226
1230	-83880.77	-83880.36	-0.4052877	0.0193252	0.918291	0.0817088	1.83658	0.163418	0.9998226
1240	-83881.16	-83880.76	-0.4052877	0.0146948	0.918291	0.0817088	1.83658	0.163418	0.9998226
1250	-83880.88	-83880.48	-0.4052877	0.0153647	0.918291	0.0817088	1.83658	0.163418	0.9998226
1260	-83881.78	-83881.37	-0.4052877	0.0214349	0.918291	0.0817088	1.83658	0.163418	0.9998226
1270	-83880.51	-83880.11	-0.4052877	0.0179557	0.918291	0.0817088	1.83658	0.163418	0.9998226
1280	-83880.89	-83880.49	-0.4052877	0.015341	0.918291	0.0817088	1.83658	0.163418	0.9998226
1290	-83881.36	-83880.96	-0.4052877	0.020738	0.918291	0.0817088	1.83658	0.163418	0.9998226
1300	-83880.53	-83880.13	-0.4052877	0.0171961	0.918887	0.0811128	1.83777	0.162226	0.9998226
1310	-83880.53	-83880.13	-0.4052877	0.0171961	0.918887	0.0811128	1.83777	0.162226	0.9998226
1320	-83880.59	-83880.19	-0.4052877	0.0185238	0.918887	0.0811128	1.83777	0.162226	0.9998226
1330	-83880.47	-83880.06	-0.4052877	0.018083	0.91876	0.0812399	1.83752	0.16248	0.9998226
1340	-83880.78	-83880.38	-0.4052877	0.0195699	0.91876	0.0812399	1.83752	0.16248	0.9998226
1350	-83881.63	-83881.22	-0.4052877	0.0213175	0.91876	0.0812399	1.83752	0.16248	0.9998226
1360	-83880.48	-83880.07	-0.4052877	0.0169599	0.91876	0.0812399	1.83752	0.16248	0.9998226
1370	-83880.49	-83880.08	-0.4052877	0.0182427	0.91876	0.0812399	1.83752	0.16248	0.9998226
1380	-83882.78	-83882.38	-0.4052877	0.0122303	0.918635	0.0813653	1.83727	0.162731	0.9998226
1390	-83881.02	-83880.61	-0.4052877	0.0148688	0.918635	0.0813653	1.83727	0.162731	0.9998226
1400	-83880.41	-83880.01	-0.4052877	0.0177466	0.918635	0.0813653	1.83727	0.162731	0.9998226
1410	-83881.91	-83881.51	-0.4052877	0.0133186	0.918635	0.0813653	1.83727	0.162731	0.9998226
1420	-83881.31	-83880.9	-0.4052877	0.0167838	0.917692	0.0823081	1.83538	0.164616	0.9998226
1430	-83882.78	-83882.38	-0.4052877	0.0132069	0.917692	0.0823081	1.83538	0.164616	0.9998226
1440	-83882.52	-83882.12	-0.4052877	0.0135856	0.917692	0.0823081	1.83538	0.164616	0.9998226
1450	-83881.74	-83881.34	-0.4052877	0.0150819	0.917692	0.0823081	1.83538	0.164616	0.9998226
1460	-83881.38	-83880.98	-0.4052877	0.0186455	0.917692	0.0823081	1.83538	0.164616	0.9998226
1470	-83881.91	-83881.51	-0.4052877	0.0146846	0.917692	0.0823081	1.83538	0.164616	0.9998226
1480	-83881.82	-83881.41	-0.4052877	0.0148961	0.917692	0.0823081	1.83538	0.164616	0.9998226
1490	-83881.76	-83881.35	-0.4052877	0.019881	0.917692	0.0823081	1.83538	0.164616	0.9998226
1500	-83881.56	-83881.15	-0.4052877	0.0193306	0.917692	0.0823081	1.83538	0.164616	0.9998226
1510	-83881.73	-83881.33	-0.4052877	0.0198224	0.917692	0.0823081	1.83538	0.164616	0.9998226
1520	-83881.73	-83881.33	-0.4052877	0.0198224	0.917692	0.0823081	1.83538	0.164616	0.9998226
1530	-83881.58	-83881.17	-0.4052877	0.0193826	0.917692	0.0823081	1.83538	0.164616	0.9998226
1540	-83882.04	-83881.64	-0.4052877	0.0205025	0.917692	0.0823081	1.83538	0.164616	0.9998226
1550	-83883.27	-83882.87	-0.4052877	0.0196119	0.920068	0.0799316	1.84014	0.159863	0.9998226
1560	-83883.33	-83882.93	-0.4052877	0.0198024	0.920068	0.0799316	1.84014	0.159863	0.9998226
1570	-83883.46	-83883.06	-0.4052877	0.0201356	0.920068	0.0799316	1.84014	0.159863	0.9998226
1580	-83883.52	-83883.12	-0.4052877	0.0151073	0.920068	0.0799316	1.84014	0.159863	0.9998226
1590	-83882.97	-83882.56	-0.4052877	0.0175153	0.920068	0.0799316	1.84014	0.159863	0.9998226
1600	-83882.97	-83882.56	-0.4052877	0.0175153	0.920068	0.0799316	1.84014	0.159863	0.9998226
1610	-83883.2	-83882.8	-0.4052877	0.019394	0.920068	0.0799316	1.84014	0.159863	0.9998226
1620	-83881.03	-83880.63	-0.4052877	0.0188785	0.919231	0.0807687	1.83846	0.161537	0.9998226
1630	-83882.01	-83881.61	-0.4052877	0.0139634	0.919231	0.0807687	1.83846	0.161537	0.9998226
1640	-83880.97	-83880.56	-0.4052877	0.0167212	0.919231	0.0807687	1.83846	0.161537	0.9998226
1650	-83880.9	-83880.5	-0.4052877	0.0173612	0.919231	0.0807687	1.83846	0.161537	0.9998226
1660	-83881.76	-83881.35	-0.4052877	0.0206204	0.917887	0.0821132	1.83577	0.164226	0.9998226
1670	-83880.93	-83880.52	-0.4052877	0.0174023	0.917887	0.0821132	1.83577	0.164226	0.9998226
1680	-83881.88	-83881.48	-0.4052877	0.0208547	0.917887	0.0821132	1.83577	0.164226	0.9998226
1690	-83882.05	-83881.65	-0.4052877	0.0211417	0.917887	0.0821132	1.83577	0.164226	0.9998226
1700	-83882.63	-83882.23	-0.4052877	0.0219416	0.917865	0.0821354	1.83573	0.164271	0.9998226
1710	-83881.35	-83880.95	-0.4052877	0.0153163	0.917865	0.0821354	1.83573	0.164271	0.9998226
1720	-83881.48	-83881.07	-0.4052877	0.0149969	0.917865	0.0821354	1.83573	0.164271	0.9998226
1730	-83883.57	-83883.16	-0.4052877	0.0120351	0.919269	0.0807305	1.83854	0.161461	0.9998226
