state	type_with_type	type_with_density	density_with_type	density_with_density
0	1	0	0	1
10000	1	-0.705845051432044	-0.705845051432045	1
20000	1	-0.608998732228812	-0.608998732228812	1
30000	1	-0.590760997095849	-0.590760997095849	1
40000	1	-0.378746841563724	-0.378746841563724	1
50000	1	-0.536625485802156	-0.536625485802156	1
60000	1	-0.32785187669096	-0.32785187669096	1
70000	1	-0.545315972430164	-0.545315972430164	1
80000	1	-0.575309434226397	-0.575309434226396	1
90000	1	-0.77496202074459	-0.77496202074459	1
1e+05	1	-0.663420542819964	-0.663420542819964	1
110000	1	-0.475387094808587	-0.475387094808587	1
120000	1	-0.673646463228528	-0.673646463228528	1
130000	1	-0.274432489631878	-0.274432489631878	1
140000	1	-0.552709050843678	-0.552709050843678	1
150000	1	-0.647867807761693	-0.647867807761693	1
160000	1	-0.354063984529489	-0.354063984529489	1
170000	1	-0.5827766772013	-0.5827766772013	1
180000	1	-0.531647681386526	-0.531647681386526	1
190000	1	-0.635585653632953	-0.635585653632953	1
2e+05	1	-0.67723183774377	-0.677231837743771	1
210000	1	-0.610362341273452	-0.610362341273452	1
220000	1	-0.636740091979359	-0.636740091979359	1
230000	1	-0.435173236279519	-0.435173236279519	1
240000	1	-0.581622942656072	-0.581622942656072	1
250000	1	-0.418829090105484	-0.418829090105484	1
260000	1	-0.531924486534802	-0.531924486534802	1
270000	1	-0.718397386866612	-0.718397386866612	1
280000	1	-0.478347801114417	-0.478347801114417	1
290000	1	-0.675977140756829	-0.675977140756829	1
3e+05	1	-0.697072071401694	-0.697072071401694	1
310000	1	-0.784124657490854	-0.784124657490854	1
320000	1	-0.77994868984909	-0.779948689849089	1
330000	1	-0.651921523247009	-0.651921523247009	1
340000	1	-0.550026478150771	-0.550026478150771	1
350000	1	-0.746576972030376	-0.746576972030376	1
360000	1	-0.595103244140576	-0.595103244140576	1
370000	1	-0.610055842832053	-0.610055842832053	1
380000	1	-0.533254398272284	-0.533254398272284	1
390000	1	-0.577619197292479	-0.577619197292479	1
4e+05	1	-0.72779658209442	-0.72779658209442	1
410000	1	-0.635996592227926	-0.635996592227926	1
420000	1	-0.712579299541454	-0.712579299541454	1
430000	1	-0.319627878511754	-0.319627878511754	1
440000	1	-0.522696386108316	-0.522696386108316	1
450000	1	-0.514300617579013	-0.514300617579013	1
460000	1	-0.686928149920263	-0.686928149920263	1
470000	1	-0.724760414269214	-0.724760414269214	1
480000	1	-0.646359071964935	-0.646359071964935	1
490000	1	-0.307426786605709	-0.307426786605709	1
5e+05	1	-0.630783421614889	-0.630783421614888	1
510000	1	-0.676694753402605	-0.676694753402605	1
520000	1	-0.618387928121831	-0.618387928121831	1
530000	1	-0.605442690263037	-0.605442690263037	1
540000	1	-0.561902964983651	-0.561902964983651	1
550000	1	-0.741586855793996	-0.741586855793996	1
560000	1	-0.25610206571946	-0.25610206571946	1
570000	1	-0.563211030379767	-0.563211030379767	1
580000	1	-0.712548011373577	-0.712548011373577	1
590000	1	-0.634576997560057	-0.634576997560057	1
6e+05	1	-0.633736426123158	-0.633736426123158	1
610000	1	-0.631603104123492	-0.631603104123492	1
620000	1	-0.594190365624842	-0.594190365624842	1
630000	1	-0.544290502721092	-0.544290502721092	1
640000	1	-0.677006341060506	-0.677006341060506	1
650000	1	-0.600059147364881	-0.600059147364881	1
660000	1	-0.477044516554573	-0.477044516554573	1
670000	1	-0.59065996324671	-0.59065996324671	1
680000	1	-0.618356745177077	-0.618356745177077	1
690000	1	-0.61979329608233	-0.61979329608233	1
7e+05	1	-0.710208495095239	-0.710208495095239	1
710000	1	-0.355936669257125	-0.355936669257125	1
720000	1	-0.582079155414759	-0.582079155414759	1
730000	1	-0.706375946541114	-0.706375946541114	1
740000	1	-0.597147656478308	-0.597147656478308	1
750000	1	-0.660634071230958	-0.660634071230958	1
760000	1	-0.274815890298818	-0.274815890298818	1
770000	1	-0.70256026780451	-0.70256026780451	1
780000	1	-0.565616681361764	-0.565616681361764	1
790000	1	-0.507384140675287	-0.507384140675287	1
8e+05	1	-0.702721964331884	-0.702721964331884	1
810000	1	-0.742354215571487	-0.742354215571487	1
820000	1	-0.569366961048549	-0.569366961048549	1
830000	1	-0.46920615685412	-0.46920615685412	1
840000	1	-0.465063163333805	-0.465063163333805	1
850000	1	-0.638379820159728	-0.638379820159729	1
860000	1	-0.658508237122251	-0.658508237122251	1
870000	1	-0.277581286476344	-0.277581286476344	1
880000	1	-0.609845459599515	-0.609845459599515	1
890000	1	-0.389507779658886	-0.389507779658886	1
9e+05	1	-0.585045299420035	-0.585045299420035	1
910000	1	-0.415921116527303	-0.415921116527303	1
920000	1	-0.634526876466854	-0.634526876466854	1
930000	1	-0.625431904557066	-0.625431904557066	1
940000	1	-0.689655017508677	-0.689655017508677	1
950000	1	-0.295789846294708	-0.295789846294708	1
960000	1	-0.505471220127778	-0.505471220127778	1
970000	1	-0.56309338039407	-0.56309338039407	1
980000	1	-0.426070448181452	-0.426070448181452	1
990000	1	-0.68979412876765	-0.68979412876765	1
1e+06	1	-0.527724095777754	-0.527724095777754	1
1010000	1	-0.452723662045194	-0.452723662045194	1
1020000	1	-0.65826348208666	-0.65826348208666	1
1030000	1	-0.711225138182909	-0.711225138182909	1
1040000	1	-0.543879366409745	-0.543879366409745	1
1050000	1	-0.544905738494451	-0.544905738494451	1
1060000	1	-0.465495200841313	-0.465495200841313	1
1070000	1	-0.518350087763243	-0.518350087763243	1
1080000	1	-0.617450239088761	-0.617450239088761	1
1090000	1	-0.742430082074782	-0.742430082074782	1
1100000	1	-0.52764562055645	-0.52764562055645	1
1110000	1	-0.415606617656263	-0.415606617656263	1
1120000	1	-0.591852071952874	-0.591852071952874	1
1130000	1	-0.651863186498773	-0.651863186498773	1
1140000	1	-0.476016338658497	-0.476016338658497	1
1150000	1	-0.718351923410198	-0.718351923410198	1
1160000	1	-0.743341614884266	-0.743341614884266	1
1170000	1	-0.78067663508517	-0.78067663508517	1
1180000	1	-0.700981029187423	-0.700981029187423	1
1190000	1	-0.540404745783348	-0.540404745783348	1
1200000	1	-0.625042139788706	-0.625042139788706	1
1210000	1	-0.727458204201248	-0.727458204201248	1
1220000	1	-0.589710428007665	-0.589710428007665	1
1230000	1	-0.663801070274661	-0.663801070274661	1
1240000	1	-0.588850268070332	-0.588850268070332	1
1250000	1	-0.717775532063052	-0.717775532063053	1
1260000	1	-0.766731366163927	-0.766731366163927	1
1270000	1	-0.776199294197176	-0.776199294197176	1
1280000	1	-0.463297136107776	-0.463297136107777	1
1290000	1	-0.687108510023122	-0.687108510023122	1
1300000	1	-0.42873725845458	-0.42873725845458	1
1310000	1	-0.617536856924537	-0.617536856924537	1
1320000	1	-0.690987709887313	-0.690987709887313	1
1330000	1	-0.594200509450053	-0.594200509450053	1
1340000	1	-0.492298904070094	-0.492298904070094	1
1350000	1	-0.580875138365947	-0.580875138365947	1
1360000	1	-0.681761303903787	-0.681761303903787	1
1370000	1	-0.435155055649055	-0.435155055649055	1
1380000	1	-0.754209256899587	-0.754209256899587	1
1390000	1	-0.445004721266074	-0.445004721266074	1
1400000	1	-0.505221621681723	-0.505221621681723	1
1410000	1	-0.652818681206583	-0.652818681206583	1
1420000	1	-0.657745240550974	-0.657745240550974	1
1430000	1	-0.654833067865516	-0.654833067865516	1
1440000	1	-0.699066878131589	-0.699066878131589	1
1450000	1	-0.354561698291639	-0.354561698291639	1
1460000	1	-0.665254645610747	-0.665254645610747	1
1470000	1	-0.613615456622485	-0.613615456622485	1
1480000	1	-0.717763371631422	-0.717763371631422	1
1490000	1	-0.238527383861571	-0.238527383861571	1
1500000	1	-0.386951793431888	-0.386951793431888	1
1510000	1	-0.610895552126886	-0.610895552126886	1
1520000	1	-0.559648934881696	-0.559648934881696	1
1530000	1	-0.700158435471472	-0.700158435471472	1
1540000	1	-0.572364407569279	-0.572364407569279	1
1550000	1	-0.666099924428252	-0.666099924428252	1
1560000	1	-0.643058488084727	-0.643058488084727	1
1570000	1	-0.613523360511813	-0.613523360511813	1
1580000	1	-0.678896221492453	-0.678896221492453	1
1590000	1	-0.423841542283527	-0.423841542283527	1
1600000	1	-0.612183591011034	-0.612183591011034	1
1610000	1	-0.551898972794952	-0.551898972794952	1
1620000	1	-0.563064077372234	-0.563064077372234	1
1630000	1	-0.708687797932277	-0.708687797932277	1
1640000	1	-0.560186941022649	-0.560186941022649	1
1650000	1	-0.656768878238198	-0.656768878238198	1
1660000	1	-0.490016126522306	-0.490016126522306	1
1670000	1	-0.695462480832616	-0.695462480832616	1
1680000	1	-0.558346365626793	-0.558346365626793	1
1690000	1	-0.594092339964423	-0.594092339964423	1
1700000	1	-0.635613294176673	-0.635613294176673	1
1710000	1	-0.682315369975514	-0.682315369975514	1
1720000	1	-0.63846070958123	-0.63846070958123	1
1730000	1	-0.606860349561014	-0.606860349561014	1
1740000	1	-0.698507682178966	-0.698507682178966	1
1750000	1	-0.703213153359255	-0.703213153359255	1
1760000	1	-0.5485637835574	-0.5485637835574	1
1770000	1	-0.715462169658215	-0.715462169658215	1
1780000	1	-0.501490299919557	-0.501490299919557	1
1790000	1	-0.516087385243142	-0.516087385243143	1
1800000	1	-0.454948504041085	-0.454948504041085	1
1810000	1	-0.51140339744213	-0.511403397442131	1
1820000	1	-0.720624874998721	-0.720624874998721	1
1830000	1	-0.470049253986133	-0.470049253986133	1
1840000	1	-0.57044242602728	-0.57044242602728	1
1850000	1	-0.51301991057142	-0.51301991057142	1
1860000	1	-0.575646341596	-0.575646341596	1
1870000	1	-0.6287525536375	-0.6287525536375	1
1880000	1	-0.633368045551817	-0.633368045551817	1
1890000	1	-0.657599499435263	-0.657599499435263	1
1900000	1	-0.62719288125519	-0.62719288125519	1
1910000	1	-0.389936455136006	-0.389936455136006	1
1920000	1	-0.580733786106022	-0.580733786106022	1
1930000	1	-0.626968069664994	-0.626968069664994	1
1940000	1	-0.626681632889528	-0.626681632889528	1
1950000	1	-0.608048017831756	-0.608048017831756	1
1960000	1	-0.668944902925434	-0.668944902925434	1
1970000	1	-0.476679048352619	-0.476679048352619	1
1980000	1	-0.0759953692376714	-0.0759953692376714	1
1990000	1	-0.494092647049094	-0.494092647049094	1
2e+06	1	-0.654532900942241	-0.654532900942241	1
2010000	1	-0.628956299728328	-0.628956299728328	1
2020000	1	-0.682462301152865	-0.682462301152865	1
2030000	1	-0.520989098053668	-0.520989098053668	1
2040000	1	-0.358918112935494	-0.358918112935494	1
2050000	1	-0.478094943558741	-0.478094943558741	1
2060000	1	-0.281172598690251	-0.281172598690251	1
2070000	1	-0.599026954034822	-0.599026954034821	1
2080000	1	-0.582419237565116	-0.582419237565116	1
2090000	1	-0.656651260572107	-0.656651260572107	1
2100000	1	-0.589533561038183	-0.589533561038183	1
2110000	1	-0.637759215579577	-0.637759215579577	1
2120000	1	-0.6852751443432	-0.6852751443432	1
2130000	1	-0.476985477098574	-0.476985477098574	1
2140000	1	-0.610385861149004	-0.610385861149004	1
2150000	1	-0.454400991612407	-0.454400991612407	1
2160000	1	-0.626175612135056	-0.626175612135056	1
2170000	1	-0.522243235904053	-0.522243235904053	1
2180000	1	-0.443362899801946	-0.443362899801946	1
2190000	1	-0.696710273311979	-0.696710273311979	1
2200000	1	-0.490707359466088	-0.490707359466088	1
2210000	1	-0.546000721857489	-0.546000721857489	1
2220000	1	-0.682783929802533	-0.682783929802533	1
2230000	1	-0.57535572566411	-0.57535572566411	1
2240000	1	-0.74297929001924	-0.74297929001924	1
2250000	1	-0.690405879621865	-0.690405879621865	1
2260000	1	-0.683375581440545	-0.683375581440545	1
2270000	1	-0.777126001117073	-0.777126001117073	1
2280000	1	-0.440385612292785	-0.440385612292784	1
2290000	1	-0.559489753729602	-0.559489753729602	1
2300000	1	-0.475329063320493	-0.475329063320493	1
2310000	1	-0.602193280046438	-0.602193280046438	1
2320000	1	-0.712706137802372	-0.712706137802372	1
2330000	1	-0.592497834734394	-0.592497834734394	1
2340000	1	-0.581445068665193	-0.581445068665193	1
2350000	1	-0.687117300009233	-0.687117300009233	1
2360000	1	-0.468611537665459	-0.468611537665459	1
2370000	1	-0.616354563399053	-0.616354563399053	1
2380000	1	-0.561663527852147	-0.561663527852147	1
2390000	1	-0.361541157159643	-0.361541157159643	1
2400000	1	-0.617388807914473	-0.617388807914473	1
2410000	1	-0.709598213198	-0.709598213198	1
2420000	1	-0.486500149275719	-0.486500149275719	1
2430000	1	-0.63351286525314	-0.63351286525314	1
2440000	1	-0.836179298298335	-0.836179298298335	1
2450000	1	-0.588001721889369	-0.588001721889369	1
2460000	1	-0.473393250166379	-0.473393250166379	1
2470000	1	-0.56220962432744	-0.56220962432744	1
2480000	1	-0.623515812098173	-0.623515812098173	1
2490000	1	-0.648423260402104	-0.648423260402104	1
2500000	1	-0.525825920135026	-0.525825920135026	1
2510000	1	-0.390386221066138	-0.390386221066138	1
2520000	1	-0.536700292957729	-0.53670029295773	1
2530000	1	-0.385264760411632	-0.385264760411632	1
2540000	1	-0.559929822599762	-0.559929822599762	1
2550000	1	-0.611652494098484	-0.611652494098484	1
2560000	1	-0.456149920613783	-0.456149920613783	1
2570000	1	-0.507859833387764	-0.507859833387764	1
2580000	1	-0.541922910028534	-0.541922910028534	1
2590000	1	-0.672472143014669	-0.672472143014669	1
2600000	1	-0.582841269020676	-0.582841269020676	1
2610000	1	-0.488181989847666	-0.488181989847666	1
2620000	1	-0.60895706566723	-0.60895706566723	1
2630000	1	-0.673754918463405	-0.673754918463405	1
2640000	1	-0.586186150259738	-0.586186150259738	1
2650000	1	-0.419878174266154	-0.419878174266154	1
2660000	1	-0.486838511967295	-0.486838511967295	1
2670000	1	-0.570051266036514	-0.570051266036514	1
2680000	1	-0.564472366414059	-0.564472366414059	1
2690000	1	-0.657836046882583	-0.657836046882583	1
2700000	1	-0.509700637739513	-0.509700637739513	1
2710000	1	-0.599008345826838	-0.599008345826838	1
2720000	1	-0.639189526632893	-0.639189526632893	1
2730000	1	-0.711662793169745	-0.711662793169745	1
2740000	1	-0.706746046599392	-0.706746046599392	1
2750000	1	-0.635053428764943	-0.635053428764943	1
2760000	1	-0.661724337457551	-0.661724337457551	1
2770000	1	-0.661703007712993	-0.661703007712993	1
2780000	1	-0.57297934882564	-0.57297934882564	1
2790000	1	-0.757371025007869	-0.757371025007869	1
2800000	1	-0.668847465908609	-0.668847465908609	1
2810000	1	-0.699929773969533	-0.699929773969533	1
2820000	1	-0.601134907257151	-0.601134907257151	1
2830000	1	-0.306364629652923	-0.306364629652923	1
2840000	1	-0.623443714254749	-0.623443714254749	1
2850000	1	-0.569461139819838	-0.569461139819838	1
2860000	1	-0.692795454200193	-0.692795454200193	1
2870000	1	-0.565913364175225	-0.565913364175225	1
2880000	1	-0.562067908792557	-0.562067908792557	1
2890000	1	-0.799247469906093	-0.799247469906093	1
2900000	1	-0.576165661384432	-0.576165661384432	1
2910000	1	-0.633019954089415	-0.633019954089415	1
2920000	1	-0.611922871193622	-0.611922871193622	1
2930000	1	-0.756311837448579	-0.756311837448579	1
2940000	1	-0.710212886318525	-0.710212886318525	1
2950000	1	-0.446260234097823	-0.446260234097823	1
2960000	1	-0.695259240993872	-0.695259240993872	1
2970000	1	-0.645776821064921	-0.645776821064921	1
2980000	1	-0.613042544432353	-0.613042544432353	1
2990000	1	-0.518407549103877	-0.518407549103877	1
3e+06	1	-0.621026031225822	-0.621026031225822	1
3010000	1	-0.450648131332363	-0.450648131332363	1
3020000	1	-0.519825846093971	-0.519825846093971	1
3030000	1	-0.353318265434143	-0.353318265434143	1
3040000	1	-0.392557285835661	-0.392557285835661	1
3050000	1	-0.602035422898535	-0.602035422898535	1
3060000	1	-0.681051986445459	-0.681051986445459	1
3070000	1	-0.56727521501576	-0.56727521501576	1
3080000	1	-0.543673037078216	-0.543673037078216	1
3090000	1	-0.396862905779692	-0.396862905779692	1
3100000	1	-0.555339216624372	-0.555339216624372	1
3110000	1	-0.739748572596924	-0.739748572596924	1
3120000	1	-0.817356705680242	-0.817356705680242	1
3130000	1	-0.74078489090763	-0.74078489090763	1
3140000	1	-0.468825294184394	-0.468825294184394	1
3150000	1	-0.697407364508962	-0.697407364508962	1
3160000	1	-0.724024851287014	-0.724024851287014	1
3170000	1	-0.719988660347667	-0.719988660347667	1
3180000	1	-0.494638663628859	-0.494638663628859	1
3190000	1	-0.574012326102449	-0.574012326102449	1
3200000	1	-0.681308281321441	-0.681308281321441	1
3210000	1	-0.694275200096118	-0.694275200096118	1
3220000	1	-0.561265564769725	-0.561265564769726	1
3230000	1	-0.534689188185973	-0.534689188185973	1
3240000	1	-0.624580931059336	-0.624580931059336	1
3250000	1	-0.0151135047156296	-0.0151135047156296	1
3260000	1	-0.737587550579625	-0.737587550579625	1
3270000	1	-0.434379842882474	-0.434379842882474	1
3280000	1	-0.683484929297487	-0.683484929297487	1
3290000	1	-0.452887029669042	-0.452887029669042	1
3300000	1	-0.790173383404669	-0.790173383404669	1
3310000	1	-0.450482295682631	-0.450482295682631	1
3320000	1	-0.747711286880623	-0.747711286880623	1
3330000	1	-0.241491079329373	-0.241491079329373	1
3340000	1	-0.618619643649303	-0.618619643649303	1
3350000	1	-0.682071982718853	-0.682071982718853	1
3360000	1	-0.615416261185892	-0.615416261185892	1
3370000	1	-0.70441474716567	-0.70441474716567	1
3380000	1	-0.520759579049686	-0.520759579049687	1
3390000	1	-0.540847823985535	-0.540847823985535	1
3400000	1	-0.689210556384058	-0.689210556384058	1
3410000	1	-0.6337445208187	-0.6337445208187	1
3420000	1	-0.668916475075003	-0.668916475075003	1
3430000	1	-0.547459154781948	-0.547459154781948	1
3440000	1	-0.666431969034111	-0.666431969034111	1
3450000	1	-0.552625491280184	-0.552625491280185	1
3460000	1	-0.465492448306122	-0.465492448306122	1
3470000	1	-0.590488850423156	-0.590488850423156	1
3480000	1	-0.601140027001785	-0.601140027001785	1
3490000	1	-0.654201558108834	-0.654201558108834	1
3500000	1	-0.730450862795048	-0.730450862795048	1
3510000	1	-0.530588727470306	-0.530588727470306	1
3520000	1	-0.383316025854363	-0.383316025854363	1
3530000	1	-0.503280665462298	-0.503280665462298	1
3540000	1	-0.669878731832033	-0.669878731832033	1
3550000	1	-0.556098164318548	-0.556098164318548	1
3560000	1	-0.805859403894398	-0.805859403894398	1
3570000	1	-0.716380877205944	-0.716380877205944	1
3580000	1	-0.58717871198974	-0.58717871198974	1
3590000	1	-0.635989213686658	-0.635989213686658	1
3600000	1	-0.444318177937008	-0.444318177937008	1
3610000	1	-0.57120894991946	-0.57120894991946	1
3620000	1	-0.365133620798808	-0.365133620798808	1
3630000	1	-0.662058208326272	-0.662058208326272	1
3640000	1	-0.242052668546621	-0.242052668546621	1
3650000	1	-0.676039747627462	-0.676039747627461	1
3660000	1	-0.620837271934685	-0.620837271934686	1
3670000	1	-0.667160796496419	-0.667160796496419	1
3680000	1	-0.375845827248251	-0.375845827248251	1
3690000	1	-0.752464706173289	-0.752464706173289	1
3700000	1	-0.68580469076692	-0.68580469076692	1
3710000	1	-0.5629151583775	-0.5629151583775	1
3720000	1	-0.67839974298292	-0.67839974298292	1
3730000	1	-0.572835743099617	-0.572835743099617	1
3740000	1	-0.504626793120414	-0.504626793120414	1
3750000	1	-0.256110767747738	-0.256110767747738	1
3760000	1	-0.703360956706747	-0.703360956706747	1
3770000	1	-0.686921745644417	-0.686921745644417	1
3780000	1	-0.755683566827566	-0.755683566827566	1
3790000	1	-0.310337658153224	-0.310337658153224	1
3800000	1	-0.764296875694007	-0.764296875694007	1
3810000	1	-0.444202314989166	-0.444202314989167	1
3820000	1	-0.436760688316941	-0.436760688316941	1
3830000	1	-0.695264458916797	-0.695264458916797	1
3840000	1	-0.562519974619942	-0.562519974619942	1
3850000	1	-0.730783278380707	-0.730783278380707	1
3860000	1	-0.665473028322162	-0.665473028322162	1
3870000	1	-0.622755012361302	-0.622755012361302	1
3880000	1	-0.493936320614655	-0.493936320614656	1
3890000	1	-0.585606165961977	-0.585606165961977	1
3900000	1	-0.693602145506359	-0.693602145506359	1
3910000	1	-0.795307339359969	-0.795307339359969	1
