state	type_with_type	type_with_size	type_with_density	size_with_type	size_with_size	size_with_density	density_with_type	density_with_size	density_with_density
0	1	0	0	0	1	0	0	0	1
10000	1	-0.11019587213059	-0.629868902125862	-0.11019587213059	1	-0.131439815857769	-0.629868902125862	-0.131439815857769	1
20000	1	0.0301962425013015	-0.523383356384529	0.0301962425013015	1	0.211709830268452	-0.523383356384529	0.211709830268452	1
30000	1	0.0733936869717905	-0.617767003658837	0.0733936869717905	1	0.00815926844878925	-0.617767003658837	0.00815926844878924	1
40000	1	0.12791261967537	-0.0688625763354557	0.12791261967537	1	0.154759480601413	-0.0688625763354558	0.154759480601413	1
50000	1	-0.486287538261528	-0.486526862918179	-0.486287538261528	1	-0.0076080979374484	-0.486526862918179	-0.00760809793744838	1
60000	1	-0.28341618812919	-0.460021877886835	-0.28341618812919	1	0.12940203499235	-0.460021877886835	0.12940203499235	1
70000	1	-0.100364829997433	-0.697503149567487	-0.100364829997433	1	0.123632284020366	-0.697503149567487	0.123632284020366	1
80000	1	-0.302010450521482	-0.505586601457216	-0.302010450521482	1	0.00312655232901837	-0.505586601457216	0.00312655232901836	1
90000	1	-0.326701666837109	-0.693038793835994	-0.326701666837109	1	0.35464151230082	-0.693038793835994	0.35464151230082	1
1e+05	1	-0.333184391722731	-0.753314301964363	-0.333184391722731	1	-0.0387563806974401	-0.753314301964363	-0.0387563806974401	1
110000	1	-0.0256215375548525	-0.609532075170388	-0.0256215375548525	1	-0.00497155013184294	-0.609532075170388	-0.00497155013184294	1
120000	1	0.0302614416994129	-0.483588400363009	0.0302614416994129	1	0.214202700326225	-0.483588400363009	0.214202700326225	1
130000	1	-0.0194933969636155	-0.625560878058343	-0.0194933969636154	1	0.187152146173849	-0.625560878058343	0.187152146173849	1
140000	1	-0.126607874578067	-0.660471396937286	-0.126607874578067	1	-0.0275855557388571	-0.660471396937286	-0.0275855557388571	1
150000	1	-0.180925879216379	-0.768863373073769	-0.180925879216379	1	0.149363795128274	-0.768863373073769	0.149363795128274	1
160000	1	-0.366557097768635	-0.596873220397897	-0.366557097768635	1	0.252541833024365	-0.596873220397897	0.252541833024365	1
170000	1	-0.129045377075202	-0.506584294683561	-0.129045377075202	1	0.280782254188852	-0.506584294683561	0.280782254188852	1
180000	1	-0.228004782584304	-0.704004503913071	-0.228004782584304	1	0.122631339818758	-0.704004503913071	0.122631339818758	1
190000	1	-0.253552985668046	-0.551834655030979	-0.253552985668046	1	0.12817962023487	-0.551834655030979	0.12817962023487	1
2e+05	1	-0.107687602063451	-0.538704484729514	-0.107687602063451	1	0.199287377704207	-0.538704484729514	0.199287377704207	1
210000	1	-0.280501236855567	-0.356745340154028	-0.280501236855567	1	0.0326510950732307	-0.356745340154028	0.0326510950732307	1
220000	1	-0.245132661884396	-0.465504322272407	-0.245132661884396	1	-0.0172714400920391	-0.465504322272407	-0.0172714400920391	1
230000	1	-0.170018202524697	-0.618952885979498	-0.170018202524697	1	0.203528546659022	-0.618952885979498	0.203528546659022	1
240000	1	-0.0653384391497072	-0.80329381247195	-0.0653384391497073	1	0.170602566618645	-0.80329381247195	0.170602566618645	1
250000	1	0.135464853205233	-0.459385501032815	0.135464853205233	1	0.359930626224538	-0.459385501032815	0.359930626224538	1
260000	1	-0.228711812160289	-0.561615224093902	-0.228711812160289	1	0.286591566043165	-0.561615224093902	0.286591566043165	1
270000	1	-0.154150002362907	-0.706369323801258	-0.154150002362907	1	-0.0110371846440628	-0.706369323801258	-0.0110371846440628	1
280000	1	0.211870654080045	-0.661672245280816	0.211870654080045	1	-0.0295318681862615	-0.661672245280817	-0.0295318681862615	1
290000	1	-0.047746883521265	-0.698928685709376	-0.047746883521265	1	0.199740624617819	-0.698928685709376	0.199740624617819	1
3e+05	1	0.0343365624664241	-0.582549909919164	0.0343365624664241	1	0.253227765179281	-0.582549909919164	0.253227765179281	1
310000	1	-0.0245614443482586	-0.774079967630989	-0.0245614443482586	1	-0.126503225087481	-0.774079967630989	-0.126503225087481	1
320000	1	-0.354687473929356	-0.6811103225037	-0.354687473929356	1	0.216005820056227	-0.6811103225037	0.216005820056227	1
330000	1	-0.107276345587341	-0.739353749057173	-0.107276345587341	1	0.0682622446716635	-0.739353749057173	0.0682622446716635	1
340000	1	-0.406182239850636	-0.723681862239788	-0.406182239850636	1	0.238309758877392	-0.723681862239788	0.238309758877392	1
350000	1	-0.0881695296202015	-0.401557709127676	-0.0881695296202015	1	0.23301606763378	-0.401557709127676	0.23301606763378	1
