state	type_with_type	type_with_size	type_with_sparsity	size_with_type	size_with_size	size_with_sparsity	sparsity_with_type	sparsity_with_size	sparsity_with_sparsity
0	1	0	0	0	1	0	0	0	1
10000	1	0.112343427833466	0.757187975854698	0.112343427833466	1	-0.0654954304389019	0.757187975854698	-0.0654954304389019	1
20000	1	-0.0730458152720027	0.693351392327111	-0.0730458152720027	1	-0.0227708337400949	0.693351392327111	-0.0227708337400949	1
30000	1	-0.138181755900574	0.853033788572549	-0.138181755900575	1	-0.0154540583854676	0.853033788572549	-0.0154540583854676	1
40000	1	0.0662577729226767	0.8550537650874	0.0662577729226767	1	0.0515473332862223	0.8550537650874	0.0515473332862223	1
50000	1	-0.171504208478999	0.593070406580445	-0.171504208478999	1	0.000756041597820879	0.593070406580445	0.000756041597820897	1
60000	1	0.0393095869426141	0.804276562214722	0.0393095869426141	1	-0.0117347158559002	0.804276562214722	-0.0117347158559002	1
70000	1	0.040548101954117	0.676549280100649	0.040548101954117	1	-0.0303381573919071	0.676549280100649	-0.0303381573919071	1
80000	1	-0.0969893295786713	0.78240093410429	-0.0969893295786713	1	-0.242429959323059	0.78240093410429	-0.242429959323059	1
90000	1	-0.341375950394505	0.732349871449031	-0.341375950394505	1	-0.316361606454667	0.732349871449031	-0.316361606454667	1
1e+05	1	-0.133881825767983	0.915866888776203	-0.133881825767983	1	-0.160531697631089	0.915866888776203	-0.160531697631089	1
110000	1	-0.0239519214755648	0.792175967836291	-0.0239519214755648	1	-0.155422496737216	0.792175967836291	-0.155422496737216	1
120000	1	-0.300263545089124	0.856725602623088	-0.300263545089124	1	-0.0839841078384429	0.856725602623088	-0.083984107838443	1
130000	1	-0.220138885168015	0.708791494136745	-0.220138885168015	1	-0.251101197931337	0.708791494136746	-0.251101197931337	1
140000	1	-0.429168962792036	0.659236681227003	-0.429168962792036	1	-0.422942570707227	0.659236681227003	-0.422942570707227	1
150000	1	-0.257352348647294	0.567601353475953	-0.257352348647294	1	-0.39550983854185	0.567601353475953	-0.39550983854185	1
160000	1	0.012840848766352	0.556617628043944	0.012840848766352	1	-0.109759274947091	0.556617628043944	-0.109759274947091	1
170000	1	-0.225109744949419	0.733265774754893	-0.225109744949419	1	-0.0344885861679405	0.733265774754893	-0.0344885861679406	1
180000	1	-0.253029068973527	0.848494769723167	-0.253029068973527	1	-0.172312096480147	0.848494769723167	-0.172312096480147	1
190000	1	0.0160066637474456	0.778924614886935	0.0160066637474457	1	-0.112884023754678	0.778924614886935	-0.112884023754678	1
2e+05	1	-0.565545591670857	0.489386499291006	-0.565545591670857	1	-0.010762480875941	0.489386499291006	-0.0107624808759409	1
210000	1	-0.141019484833517	0.588728379938649	-0.141019484833517	1	-0.226448519012254	0.588728379938649	-0.226448519012254	1
220000	1	-0.332096593335968	0.780023988918138	-0.332096593335968	1	-0.116339047241401	0.780023988918138	-0.116339047241401	1
230000	1	-0.2600125865964	0.91295946109891	-0.2600125865964	1	-0.166684127338058	0.91295946109891	-0.166684127338058	1
240000	1	-0.176434806415111	0.765975323104214	-0.176434806415111	1	-0.244781932678865	0.765975323104214	-0.244781932678865	1
250000	1	-0.181806362656865	0.8019902470532	-0.181806362656865	1	-0.24557018715859	0.8019902470532	-0.24557018715859	1
260000	1	-0.129457659065167	0.942152751895593	-0.129457659065167	1	-0.0298908787243608	0.942152751895593	-0.0298908787243607	1
270000	1	-0.132336427157983	0.872295373573793	-0.132336427157983	1	-0.135532269559797	0.872295373573793	-0.135532269559797	1
280000	1	-0.117714046374187	0.688676800469764	-0.117714046374186	1	0.0458646020507436	0.688676800469764	0.0458646020507436	1
290000	1	-0.40798222932869	0.549987651316883	-0.40798222932869	1	-0.244409139435224	0.549987651316883	-0.244409139435224	1
3e+05	1	0.0194582744755507	0.665764082083412	0.0194582744755507	1	-0.139412531591025	0.665764082083412	-0.139412531591025	1
310000	1	-0.206516198716608	0.596728895284747	-0.206516198716608	1	-0.489337191756198	0.596728895284747	-0.489337191756198	1
320000	1	-0.31444034418271	0.748039303133298	-0.31444034418271	1	-0.191447731472732	0.748039303133298	-0.191447731472732	1
330000	1	-0.22086732204274	0.871765080759952	-0.22086732204274	1	-0.203553293693586	0.871765080759952	-0.203553293693586	1
340000	1	-0.367100563562048	0.851376712471942	-0.367100563562048	1	-0.208012128236909	0.851376712471942	-0.208012128236909	1
350000	1	0.0311778327486147	0.442426490657511	0.0311778327486147	1	-0.219052812045611	0.442426490657511	-0.219052812045611	1
360000	1	-0.0933586016194066	0.646784852619928	-0.0933586016194065	1	-0.0339070644166389	0.646784852619927	-0.0339070644166389	1
370000	1	-0.320794169165059	0.677604488605696	-0.320794169165059	1	-0.295218784652249	0.677604488605696	-0.295218784652249	1
380000	1	-0.0500227212861787	0.731382577988848	-0.0500227212861787	1	-0.0294564453966023	0.731382577988848	-0.0294564453966023	1
390000	1	-0.287551810919618	0.734976043359295	-0.287551810919618	1	-0.161277909871797	0.734976043359295	-0.161277909871797	1
4e+05	1	-0.41265166539743	0.637187418805594	-0.41265166539743	1	-0.321373908718517	0.637187418805594	-0.321373908718517	1
410000	1	0.0570826223118036	0.652593719201847	0.0570826223118036	1	0.0110120167473615	0.652593719201847	0.0110120167473615	1
420000	1	-0.114813409005961	0.711950647670436	-0.114813409005961	1	-0.179273486304591	0.711950647670436	-0.179273486304591	1
430000	1	-0.246579111578465	0.581935411217352	-0.246579111578465	1	-0.00325175342764942	0.581935411217352	-0.00325175342764944	1
440000	1	-0.44560643806188	0.83868429931015	-0.44560643806188	1	-0.24015309893387	0.83868429931015	-0.24015309893387	1
450000	1	-0.523262389175615	0.77076630494294	-0.523262389175615	1	-0.379796039092105	0.77076630494294	-0.379796039092105	1
460000	1	0.399087388128007	0.621600773176711	0.399087388128007	1	-0.0135453191455939	0.621600773176711	-0.0135453191455939	1
470000	1	-0.313802696265828	0.787659779707225	-0.313802696265828	1	-0.257359703466622	0.787659779707225	-0.257359703466622	1
480000	1	-0.150419077443737	0.852345678378283	-0.150419077443737	1	-0.0564039566039646	0.852345678378283	-0.0564039566039646	1
490000	1	-0.193080793104826	0.888693751019006	-0.193080793104826	1	-0.21244703722959	0.888693751019006	-0.21244703722959	1
5e+05	1	-0.473527867886216	0.706486130734264	-0.473527867886216	1	-0.0726823817112046	0.706486130734264	-0.0726823817112045	1
510000	1	0.118616872927626	0.659553520823138	0.118616872927626	1	-0.15367085731852	0.659553520823138	-0.15367085731852	1
520000	1	0.0386124579569963	0.526033750983181	0.0386124579569963	1	-0.200975964436648	0.526033750983181	-0.200975964436648	1
530000	1	-0.270129255010929	0.850060463805733	-0.270129255010929	1	-0.227422594838727	0.850060463805733	-0.227422594838727	1
540000	1	-0.0451911233961873	0.75629700698522	-0.0451911233961873	1	-0.243881327429227	0.75629700698522	-0.243881327429227	1
550000	1	-0.321007540854318	0.458809877906203	-0.321007540854318	1	-0.0914369053836781	0.458809877906203	-0.0914369053836782	1
560000	1	-0.275533344771362	0.877781899868406	-0.275533344771362	1	-0.27848551789104	0.877781899868406	-0.278485517891039	1
570000	1	-0.201578101331454	0.82703437102634	-0.201578101331454	1	-0.137569609868583	0.82703437102634	-0.137569609868583	1
580000	1	-0.152023681177864	0.818647234989877	-0.152023681177864	1	-0.0814059143560353	0.818647234989877	-0.0814059143560353	1
590000	1	-0.194201313635918	0.827038281399608	-0.194201313635918	1	-0.14642158545514	0.827038281399608	-0.14642158545514	1
6e+05	1	-0.361818916662648	0.812121018482277	-0.361818916662648	1	-0.285749472801021	0.812121018482277	-0.285749472801021	1
610000	1	-0.150217208987513	0.376613255318737	-0.150217208987513	1	-0.150914705068884	0.376613255318738	-0.150914705068884	1
620000	1	-0.153529919516861	0.718140368107603	-0.153529919516861	1	-0.214782881989779	0.718140368107603	-0.214782881989779	1
630000	1	-0.208969072786697	0.843153249638485	-0.208969072786697	1	-0.101393000279089	0.843153249638486	-0.101393000279089	1
640000	1	-0.478147056522877	0.799892005591874	-0.478147056522877	1	-0.22589061789693	0.799892005591874	-0.22589061789693	1
650000	1	-0.0975383632061541	0.847247441713911	-0.0975383632061541	1	-0.0241825531680646	0.847247441713911	-0.0241825531680646	1
660000	1	-0.137147429479473	0.924649046988578	-0.137147429479473	1	-0.113177004072696	0.924649046988578	-0.113177004072696	1
670000	1	0.0106211087610915	0.823920119742073	0.0106211087610915	1	-0.290087385934859	0.823920119742073	-0.290087385934859	1
680000	1	-0.359139606633921	0.562226995151307	-0.359139606633921	1	-0.0679236118205179	0.562226995151307	-0.0679236118205179	1
690000	1	-0.281329449761326	0.851726023304966	-0.281329449761326	1	-0.262086439224485	0.851726023304966	-0.262086439224485	1
7e+05	1	-0.149747710512002	0.777809645087941	-0.149747710512002	1	-0.127021456333732	0.777809645087941	-0.127021456333732	1
710000	1	-0.315596310728002	0.827332815632224	-0.315596310728002	1	-0.345273163508988	0.827332815632224	-0.345273163508988	1
720000	1	-0.026745476822147	0.634375099991078	-0.026745476822147	1	-0.104655921142976	0.634375099991078	-0.104655921142976	1
730000	1	-0.108482792544927	0.75267181726981	-0.108482792544927	1	-0.0386757546791942	0.75267181726981	-0.0386757546791942	1
740000	1	-0.144751900345493	0.828392374085389	-0.144751900345493	1	-0.128421413876876	0.828392374085388	-0.128421413876876	1
750000	1	-0.295129122500881	0.56914198618909	-0.295129122500881	1	-0.197207974929241	0.56914198618909	-0.197207974929241	1
760000	1	-0.016425676529505	0.773605770555293	-0.0164256765295049	1	-0.192581902089913	0.773605770555293	-0.192581902089913	1
770000	1	-0.0392597850369477	0.569952766512284	-0.0392597850369477	1	-0.0810686477256035	0.569952766512284	-0.0810686477256035	1
780000	1	-0.352626780166635	0.822339928776948	-0.352626780166635	1	-0.270256418098686	0.822339928776948	-0.270256418098686	1
790000	1	-0.308987621624994	0.697182964297872	-0.308987621624994	1	-0.204458412419069	0.697182964297872	-0.204458412419069	1
8e+05	1	-0.348096182194771	0.743888338019836	-0.348096182194771	1	-0.260962413346864	0.743888338019837	-0.260962413346864	1
810000	1	-0.148093062026176	0.72778238487495	-0.148093062026176	1	-0.112412869014308	0.72778238487495	-0.112412869014308	1
820000	1	-0.100995148795565	0.677588303935379	-0.100995148795565	1	-0.094942104642991	0.677588303935379	-0.0949421046429911	1
